"cell_id","effortId","search_effort","fringe_dist","assigned_community","area","area_prop"
122418,"prior",0,16405.6546262349,0,,
122419,"prior",0,16383.0074592737,0,,
123121,"prior",0,16386.1931775843,0,,
123122,"prior",0,16363.5190702951,0,,
123123,"prior",0,16340.8680541341,0,,
123124,"prior",0,16318.2402248394,0,,
123824,"prior",0,16366.7631165029,0,,
123825,"prior",0,16344.0620483695,0,,
123826,"prior",0,16321.3840244747,0,,
123827,"prior",0,16298.7291405912,0,,
124528,"prior",0,16324.6365051677,0,,
124529,"prior",0,16301.9314529587,0,,
124530,"prior",0,16279.2494936022,0,,
124531,"prior",0,16256.5907233405,0,,
125232,"prior",0,16282.5104518406,0,,
125233,"prior",0,16259.8013963655,0,,
125234,"prior",0,16237.1154825557,0,,
125235,"prior",0,16214.4528071179,0,,
125936,"prior",0,16240.3849617322,0,,
125937,"prior",0,16217.6718836635,0,,
125938,"prior",0,16194.9819962646,0,,
125939,"prior",0,16172.3153967203,0,,
126640,"prior",0,16198.2600401087,0,,
126641,"prior",0,16175.5429199715,0,,
126642,"prior",0,16152.8490397111,0,,
127344,"prior",0,16156.1356922863,0,,
127345,"prior",0,16133.4145104677,0,,
128047,"prior",0,16136.7604276137,0,,
128048,"prior",0,16114.0119236425,0,,
128049,"prior",0,16091.2866603773,0,,
128751,"prior",0,16094.6413942502,0,,
128752,"prior",0,16071.8887396061,0,,
128753,"prior",0,16049.1593749885,0,,
129455,"prior",0,16052.5229712362,0,,
131560,"prior",0,16086.2069969426,0,,
131561,"prior",0,16063.2758888798,0,,
131582,"prior",0,15587.1423082803,0,,
132263,"prior",0,16067.0806622745,0,,
132264,"prior",0,16044.1222147922,0,,
132265,"prior",0,16021.1865147491,0,,
132285,"prior",0,15567.4028825744,0,,
132286,"prior",0,15544.968099269,0,,
132967,"prior",0,16025.0013330698,0,,
132968,"prior",0,16002.0382246423,0,,
132969,"prior",0,15979.0979102731,0,,
132988,"prior",0,15547.6957927606,0,,
132989,"prior",0,15525.2325405214,0,,
132990,"prior",0,15502.7942374556,0,,
133671,"prior",0,15982.9228256962,0,,
133672,"prior",0,15959.9550336357,0,,
133673,"prior",0,15937.0100824225,0,,
133692,"prior",0,15505.5294149983,0,,
133693,"prior",0,15483.0625673846,0,,
134375,"prior",0,15940.8451475392,0,,
134376,"prior",0,15917.8726489845,0,,
134396,"prior",0,15463.3634284535,0,,
134397,"prior",0,15440.8929671055,0,,
134398,"prior",0,15418.4475705,0,,
135078,"prior",0,15921.7683702455,0,,
135079,"prior",0,15898.768306058,0,,
135080,"prior",0,15875.7910779844,0,,
135100,"prior",0,15421.1978372541,0,,
135101,"prior",0,15398.723743672,0,,
135102,"prior",0,15376.274773003,0,,
135782,"prior",0,15879.6971725392,0,,
135783,"prior",0,15856.6923087941,0,,
135784,"prior",0,15833.7103280004,0,,
135804,"prior",0,15379.0326455753,0,,
135805,"prior",0,15356.5549011087,0,,
135806,"prior",0,15334.102337992,0,,
136486,"prior",0,15837.6268502186,0,,
136487,"prior",0,15814.6171633655,0,,
136488,"prior",0,15791.630406478,0,,
136508,"prior",0,15336.8678576351,0,,
136509,"prior",0,15314.3864434904,0,,
136510,"prior",0,15291.9302693937,0,,
137189,"prior",0,15818.5948221602,0,,
137190,"prior",0,15795.5574111557,0,,
137191,"prior",0,15772.54287747,0,,
137192,"prior",0,15749.551320946,0,,
137198,"prior",0,15612.0901540895,0,,
137212,"prior",0,15294.7034777001,0,,
137213,"prior",0,15272.2183749338,0,,
137893,"prior",0,15776.531191925,0,,
137894,"prior",0,15753.4888633095,0,,
137895,"prior",0,15730.4694588935,0,,
137896,"prior",0,15707.4730790067,0,,
137900,"prior",0,15615.7198284445,0,,
137901,"prior",0,15592.8400932524,0,,
137902,"prior",0,15569.983994846,0,,
137916,"prior",0,15252.5395100824,0,,
137917,"prior",0,15230.0506995985,0,,
138597,"prior",0,15734.4684852031,0,,
138598,"prior",0,15711.4212147247,0,,
138599,"prior",0,15688.3969154966,0,,
138604,"prior",0,15573.6235342934,0,,
138605,"prior",0,15550.7391971665,0,,
138606,"prior",0,15527.8785474329,0,,
138619,"prior",0,15232.8938022522,0,,
138620,"prior",0,15210.3759591385,0,,
138621,"prior",0,15187.883421695,0,,
139301,"prior",0,15692.4067103092,0,,
139302,"prior",0,15669.3544735295,0,,
139303,"prior",0,15646.3252552314,0,,
139308,"prior",0,15531.5280047388,0,,
139309,"prior",0,15508.6390425478,0,,
139310,"prior",0,15485.7738185649,0,,
139311,"prior",0,15462.9324376112,0,,
139323,"prior",0,15190.7344779281,0,,
139324,"prior",0,15168.21282928,0,,
139325,"prior",0,15145.7165454803,0,,
140005,"prior",0,15650.3458756406,0,,
140006,"prior",0,15627.2886479436,0,,
140007,"prior",0,15604.2544861318,0,,
140011,"prior",0,15512.3505418481,0,,
140012,"prior",0,15489.4332469152,0,,
140013,"prior",0,15466.5396363593,0,,
140014,"prior",0,15443.6698150231,0,,
140015,"prior",0,15420.8238882652,0,,
140027,"prior",0,15148.5755989679,0,,
140028,"prior",0,15126.0501249659,0,,
140029,"prior",0,15103.5500752546,0,,
140709,"prior",0,15608.2859896886,0,,
140710,"prior",0,15585.2237462679,0,,
